Subject,Body,Label
Invoice for last month,Please take a moment to participate in our survey.,Legitimate
Follow-up on your request,Your application has been received. We’ll get back to you soon.,Legitimate
Follow-up on your request,Attached is the invoice for last month’s services. Reach out if you have any questions.,Legitimate
Your subscription details,Following up on your earlier request. Please let me know if you need more details.,Legitimate
Your account might be restricted,Your account might be restricted soon. Verify your information to avoid interruption.,Phishing
Quick update on the project,Here’s the monthly performance summary. Great work everyone!,Legitimate
Follow-up on your request,Following up on your earlier request. Please let me know if you need more details.,Legitimate
Reset your password to continue,Update your billing information to continue enjoying our services.,Phishing
Ticket confirmation,Are we still good for dinner on Friday? Let me know your preference.,Legitimate
Password change confirmation,The meeting has been moved to Thursday afternoon. Please confirm your availability.,Legitimate
Confirm your identity to proceed,Payment issue detected. Please update your payment details promptly.,Phishing
Dinner plans for Friday,Your payment has been successfully processed. Thank you!,Legitimate
Your account might be restricted,Confirm payment details immediately to avoid service interruption.,Phishing
Unlock your account now,Security alert: Please review your account settings immediately.,Phishing
Update your billing information,Verify your billing address to prevent delays.,Phishing
Your account will be suspended soon,Immediate attention required: Your account may be compromised.,Phishing
Invitation to join webinar,Sending warm holiday wishes to you and your family.,Legitimate
Unlock your account now,Click to avoid account termination and restore access.,Phishing
Dinner plans for Friday,Your order has been dispatched successfully.,Legitimate
Team catch-up tomorrow,Would you be free for lunch next week? Looking forward to catching up.,Legitimate
Invitation to join webinar,Please take a moment to participate in our survey.,Legitimate
Meeting rescheduled,Are we still good for dinner on Friday? Let me know your preference.,Legitimate
Reset your password to continue,Update your security preferences to keep your account safe.,Phishing
Feedback on recent service,Please take a moment to participate in our survey.,Legitimate
Survey participation request,Your account settings have been updated as requested.,Legitimate
Shipping details enclosed,Invoice attached for your records. Thank you.,Legitimate
Suspicious login attempt,Claim your reward today by verifying your details.,Phishing
Survey participation request,We’d love your feedback on our recent service. It helps us improve.,Legitimate
Action needed to secure your account,Your account needs verification to avoid restrictions.,Phishing
Thank you for your order,Please find the conference agenda attached. Let us know if you have any queries.,Legitimate
Confirm your identity now,Unlock your account now by confirming your details.,Phishing
Resolve account issue promptly,We detected suspicious login attempts. Secure your account by confirming your identity.,Phishing
Confirm payment details immediately,Resolve account issue promptly by verifying your information.,Phishing
Your account will be suspended soon,Click to avoid account termination and restore access.,Phishing
Your account might be restricted,Your account needs verification to avoid restrictions.,Phishing
Update security preferences,Update your billing information to continue enjoying our services.,Phishing
Update security preferences,Confirm payment details immediately to avoid service interruption.,Phishing
Action required: Verify details,Your account is on hold. Click here to resolve the issue.,Phishing
Confirm your identity now,Your account will be suspended unless you confirm your credentials.,Phishing
Confirm payment details immediately,We detected suspicious login attempts. Secure your account by confirming your identity.,Phishing
Immediate attention needed,We detected suspicious login attempts. Secure your account by confirming your identity.,Phishing
Lunch next week?,Your account settings have been updated as requested.,Legitimate
Your account is on hold,Immediate attention required: Your account may be compromised.,Phishing
Your account might be restricted,Your account is on hold. Click here to resolve the issue.,Phishing
Invitation to join webinar,Your application has been received. We’ll get back to you soon.,Legitimate
Meeting rescheduled,The meeting has been moved to Thursday afternoon. Please confirm your availability.,Legitimate
Payment confirmation,Thank you for your order. We appreciate your business.,Legitimate
Follow-up on your request,Check out the latest updates in our newsletter.,Legitimate
Team catch-up tomorrow,Following up on your earlier request. Please let me know if you need more details.,Legitimate
Action needed to secure your account,Your account is on hold. Click here to resolve the issue.,Phishing
