Subject,Body,Label
Your account needs attention,Unlock your account by clicking here.,Phishing
Lunch tomorrow?,Attached is the invoice for your recent purchase.,Legitimate
Invoice for your recent order,Welcome aboard! We are excited to have you.,Legitimate
Shipping details,Are you free for lunch tomorrow at 12 PM?,Legitimate
Your account needs attention,Confirm your credentials to continue.,Phishing
Urgent: Account locked,Unusual login detected. Secure your account now.,Phishing
Reset your password immediately,Confirm your payment details immediately.,Phishing
Security alert from bank,Your payment information needs to be updated immediately.,Phishing
Job application received,Your password change was successful.,Legitimate
Job application received,Your account settings have been updated.,Legitimate
Meeting schedule update,Attached is the invoice for your recent purchase.,Legitimate
Lunch tomorrow?,We appreciate your participation in our survey.,Legitimate
Meeting schedule update,You are invited to our upcoming webinar.,Legitimate
Your account is on hold,Click the link to verify your account or it will be suspended.,Phishing
Project report attached,You are invited to our upcoming webinar.,Legitimate
Verify billing address,Confirm your credentials to continue.,Phishing
Unlock your account now,Update your billing details to continue using our service.,Phishing
Payment confirmation,Wishing you a wonderful birthday and a great year ahead.,Legitimate
Your ticket confirmation,You are invited to our upcoming webinar.,Legitimate
Your appointment reminder,Your payment has been confirmed.,Legitimate
Monthly performance report,Attached is the invoice for your recent purchase.,Legitimate
Project report attached,Read the latest company updates in our newsletter.,Legitimate
Claim your prize now,Your account has been compromised. Act now.,Phishing
Invitation to webinar,Wishing you a wonderful birthday and a great year ahead.,Legitimate
Urgent: Verify your email,Update your security settings now.,Phishing
Click to avoid account termination,Click the link to verify your account or it will be suspended.,Phishing
Dinner plans,Invoice for your recent transaction is attached.,Legitimate
Confirm your credentials,Your account has been locked. Click here to unlock.,Phishing
Invoice attached,Thank you for shopping with us.,Legitimate
Unusual login detected,Reset your password immediately to avoid losing access.,Phishing
Security alert from bank,Your account needs urgent attention.,Phishing
Update your payment information,Unusual login detected. Secure your account now.,Phishing
Your account needs attention,Payment failed. Update your info now.,Phishing
Confirm your billing details,Click the link to verify your account or it will be suspended.,Phishing
Thank you for your purchase,Let's finalize dinner plans for this weekend.,Legitimate
Urgent: Account locked,Verify your billing address to avoid issues.,Phishing
Happy birthday!,You are invited to our upcoming webinar.,Legitimate
Confirm your credentials,Immediate action required to secure your account.,Phishing
Payment failed - Update info,Verify your email address immediately.,Phishing
Welcome to our service,Attached is the invoice for your recent purchase.,Legitimate
Payment failed - Update info,Immediate action required to secure your account.,Phishing
Immediate action required,Confirm your credentials to continue.,Phishing
Survey participation,Reminder for your scheduled appointment.,Legitimate
Your ticket confirmation,Attached is the invoice for your recent purchase.,Legitimate
Confirm payment details,Your account has been compromised. Act now.,Phishing
Project report attached,Attached is the invoice for your recent purchase.,Legitimate
Click to avoid account termination,Unusual login detected. Secure your account now.,Phishing
Update your payment information,Your account has been locked. Click here to unlock.,Phishing
Project report attached,Reminder for your scheduled appointment.,Legitimate
Your ticket confirmation,Read the latest company updates in our newsletter.,Legitimate
