Subject,Body,Label
Verify your email address,Claim your free iPhone now. Limited stock!,Phishing
Follow-up on your request,The meeting has been moved to Thursday afternoon. Please confirm your availability.,Legitimate
Claim your free iPhone now,Urgent: Transfer funds immediately to secure your account.,Phishing
Unlock your account now,Update your billing information to continue enjoying our services.,Phishing
Thank you for your order,Your subscription renewal notice is attached.,Legitimate
Limited seats for Dubai trip,Immediate attention required: Your account may be compromised.,Phishing
Payment received successfully,Happy Diwali! Wishing you joy and prosperity.,Legitimate
Project deadline reminder,Are we still good for dinner on Friday? Let me know your preference.,Legitimate
Get rich quick scheme,Your account is on hold. Click here to resolve the issue.,Phishing
Verify your billing address,Verify your billing address to prevent delays.,Phishing
Your insurance policy update,Your health report is ready. Please review.,Legitimate
Your insurance policy update,Thank you for your order. We appreciate your business.,Legitimate
Newsletter: Latest updates,Your subscription details are attached for your reference.,Legitimate
Tax filing reminder,Your subscription details are attached for your reference.,Legitimate
Click to avoid account termination,Special discount on luxury watches. Limited time!,Phishing
Your Netflix account will expire,Resolve account issue promptly by verifying your information.,Phishing
Unusual activity detected,Your account might be restricted soon. Verify your information to avoid interruption.,Phishing
Limited time offer just for you,Immediate attention required: Your account may be compromised.,Phishing
Click to avoid account termination,Confirm your identity to proceed with your account settings.,Phishing
Monthly performance summary,Are we still good for dinner on Friday? Let me know your preference.,Legitimate
Claim your reward today,We detected suspicious login attempts. Secure your account by confirming your identity.,Phishing
Newsletter: Latest updates,Season's greetings from Tokyo. Stay safe and happy.,Legitimate
Your Netflix account will expire,Security alert: Please review your account settings immediately.,Phishing
Action needed to secure your account,Update your security preferences to keep your account safe.,Phishing
Payment confirmation,Here’s the monthly performance summary. Great work everyone!,Legitimate
Your account might be restricted,Your tax refund is waiting. Click to claim.,Phishing
Action required: Verify details,Security alert: Please review your account settings immediately.,Phishing
Shipping details enclosed,Your payment has been successfully processed. Thank you!,Legitimate
Your subscription renewal notice,Birthday wishes from our team. Have a great day!,Legitimate
Your PayPal account needs verification,Payment issue detected. Please update your payment details promptly.,Phishing
Conference in Berlin - Details inside,Your subscription renewal notice is attached.,Legitimate
Invoice for last month,Your payment has been successfully processed. Thank you!,Legitimate
Warm holiday wishes,Your account settings have been updated as requested.,Legitimate
Invoice for last month,Your flight itinerary is attached. Have a pleasant journey.,Legitimate
Ticket confirmation,Project deadline reminder: Submit by Friday.,Legitimate
Your PayPal account needs verification,Free vacation package for you. Claim today!,Phishing
Dinner plans for Friday,Conference details for Berlin event enclosed.,Legitimate
Your Netflix account will expire,Exclusive crypto investment opportunity. Double your money fast!,Phishing
Appointment reminder,Payment received successfully. Thank you for your trust.,Legitimate
Action required: Verify details,We detected suspicious login attempts. Secure your account by confirming your identity.,Phishing
Exclusive VIP membership offer,Confirm payment details immediately to avoid service interruption.,Phishing
